Time [s], Analyzer Name, Decoded Protocol Result
0.059843740000000,I2C,Setup Write to [0x36] + ACK
0.059933736000000,I2C,0x3F + ACK
0.060023736000000,I2C,0x06 + ACK
0.060113736000000,I2C,0x10 + ACK
0.060233736000000,I2C,Setup Write to [0x36] + ACK
0.060323736000000,I2C,0x3F + ACK
0.060413736000000,I2C,0x01 + ACK
0.060503736000000,I2C,0x0A + ACK
0.060623736000000,I2C,Setup Write to [0x36] + ACK
0.060713736000000,I2C,0x3A + ACK
0.060803736000000,I2C,0x08 + ACK
0.060893736000000,I2C,0x01 + ACK
0.061013736000000,I2C,Setup Write to [0x36] + ACK
0.061103732000000,I2C,0x3A + ACK
0.061193732000000,I2C,0x09 + ACK
0.061283732000000,I2C,0x4B + ACK
0.061403732000000,I2C,Setup Write to [0x36] + ACK
0.061493732000000,I2C,0x3A + ACK
0.061583732000000,I2C,0x0A + ACK
0.061673732000000,I2C,0x01 + ACK
0.061793732000000,I2C,Setup Write to [0x36] + ACK
0.061883732000000,I2C,0x3A + ACK
0.061973732000000,I2C,0x0B + ACK
0.062063732000000,I2C,0x13 + ACK
0.062183732000000,I2C,Setup Write to [0x36] + ACK
0.062273728000000,I2C,0x3A + ACK
0.062363728000000,I2C,0x0D + ACK
0.062453728000000,I2C,0x04 + ACK
0.062573728000000,I2C,Setup Write to [0x36] + ACK
0.062663728000000,I2C,0x3A + ACK
0.062753728000000,I2C,0x0E + ACK
0.062843728000000,I2C,0x03 + ACK
0.062963728000000,I2C,Setup Write to [0x36] + ACK
0.063053724000000,I2C,0x3A + ACK
0.063143728000000,I2C,0x0F + ACK
0.063233724000000,I2C,0x58 + ACK
0.063353728000000,I2C,Setup Write to [0x36] + ACK
0.063443724000000,I2C,0x3A + ACK
0.063533724000000,I2C,0x10 + ACK
0.063623724000000,I2C,0x50 + ACK
0.063743724000000,I2C,Setup Write to [0x36] + ACK
0.063833724000000,I2C,0x3A + ACK
0.063923724000000,I2C,0x1B + ACK
0.064013724000000,I2C,0x58 + ACK
0.064133724000000,I2C,Setup Write to [0x36] + ACK
0.064223720000000,I2C,0x3A + ACK
0.064313720000000,I2C,0x1E + ACK
0.064403720000000,I2C,0x50 + ACK
0.064523724000000,I2C,Setup Write to [0x36] + ACK
0.064613720000000,I2C,0x3A + ACK
0.064703720000000,I2C,0x11 + ACK
0.064793720000000,I2C,0x60 + ACK
0.064913720000000,I2C,Setup Write to [0x36] + ACK
0.065003720000000,I2C,0x3A + ACK
0.065093720000000,I2C,0x1F + ACK
0.065183720000000,I2C,0x28 + ACK
0.065303720000000,I2C,Setup Write to [0x36] + ACK
0.065393716000000,I2C,0x40 + ACK
0.065483716000000,I2C,0x01 + ACK
0.065573716000000,I2C,0x02 + ACK
0.065693716000000,I2C,Setup Write to [0x36] + ACK
0.065783716000000,I2C,0x40 + ACK
0.065873716000000,I2C,0x04 + ACK
0.065963716000000,I2C,0x04 + ACK
0.066083716000000,I2C,Setup Write to [0x36] + ACK
0.066173716000000,I2C,0x40 + ACK
0.066263716000000,I2C,0x00 + ACK
0.066353712000000,I2C,0x09 + ACK
0.066473716000000,I2C,Setup Write to [0x36] + ACK
0.066563712000000,I2C,0x48 + ACK
0.066653712000000,I2C,0x37 + ACK
0.066743712000000,I2C,0x19 + ACK
0.066863716000000,I2C,Setup Write to [0x36] + ACK
0.066953712000000,I2C,0x48 + ACK
0.067043712000000,I2C,0x00 + ACK
0.067133712000000,I2C,0x34 + ACK
0.067253712000000,I2C,Setup Write to [0x36] + ACK
0.067343712000000,I2C,0x35 + ACK
0.067433708000000,I2C,0x03 + ACK
0.067523708000000,I2C,0x03 + ACK
0.067643712000000,I2C,Setup Write to [0x36] + ACK
0.067733708000000,I2C,0x38 + ACK
0.067823708000000,I2C,0x20 + ACK
0.067933712000000,I2C,Setup Read to [0x36] + ACK
0.068023708000000,I2C,0x00 + NAK
0.068145036000000,I2C,Setup Write to [0x36] + ACK
0.068235036000000,I2C,0x38 + ACK
0.068325036000000,I2C,0x21 + ACK
0.068435036000000,I2C,Setup Read to [0x36] + ACK
0.068525032000000,I2C,0x00 + NAK
